employee_id,area,home_lat,home_lon
E0187,Altona-Altstadt,53.55188,9.94487
E0188,Billstedt,53.54842,10.08013
E0189,Hummelsbüttel,53.6479,10.0383
E0190,Langenhorn,53.64663,9.98248
E0191,Bargteheide,53.73417,10.25095
E0192,Bramfeld,53.60478,10.07046
E0193,Winterhude,53.60502,9.97081
E0194,Henstedt-Ulzburg,53.77604,9.96028
E0195,Eimsbüttel,53.58669,9.95562
E0196,Barmbek-Nord,53.61037,10.02723
E0197,Harburg,53.4488,9.99017
E0198,Bad Bramstedt,53.91952,9.8899
E0199,Barmbek-Süd,53.58169,10.04712
E0200,Niendorf,53.62158,9.96244
E0201,Norderstedt,53.71291,9.96853
E0202,Wedel,53.56277,9.71443
E0203,Horn,53.56031,10.07857
E0204,Eimsbüttel,53.56012,9.95327
E0205,Rahlstedt,53.61503,10.19727
E0206,Wandsbek,53.58513,10.07924
E0207,Eimsbüttel,53.56785,9.95215
E0208,Lokstedt,53.60091,9.94563
E0209,Winterhude,53.61239,10.02285
E0210,Horn,53.55995,10.07969
E0211,Schnelsen,53.6407,9.92921
E0212,Farmsen-Berne,53.60998,10.135
E0213,Barmbek-Süd,53.58745,10.05229
E0214,Norderstedt,53.71019,10.01872
E0215,Eidelstedt,53.58995,9.9062
E0216,Wellingsbüttel,53.63766,10.06771
E0217,Eimsbüttel,53.58845,9.97413
E0218,Winterhude,53.60687,10.00327
E0219,Elmshorn,53.76751,9.65319
E0220,Ottensen,53.55322,9.9075
E0221,Niendorf,53.62397,9.95097
E0222,Horn,53.54288,10.08943
E0223,Bergedorf,53.48804,10.24651
E0224,Bad Oldesloe,53.81994,10.37418
E0225,Langenhorn,53.66274,10.01078
E0226,Elmshorn,53.75197,9.63568
E0227,Rahlstedt,53.59989,10.14029
E0228,Volksdorf,53.6365,10.17118
E0229,Wilhelmsburg,53.4997,9.9757
E0230,Winterhude,53.59502,10.01274
E0231,Eimsbüttel,53.58347,9.96513
E0232,St. Pauli,53.55019,9.95624
E0233,Wedel,53.57325,9.70496
E0234,Harburg,53.46379,10.0036
E0235,Elmshorn,53.765,9.65088
E0236,Norderstedt,53.68009,10.00183
E0237,Hamm,53.55552,10.05474
E0238,Norderstedt,53.69075,10.01647
E0239,Rahlstedt,53.59494,10.14293
E0240,Winterhude,53.59849,9.99485
E0241,Henstedt-Ulzburg,53.79693,9.98325
E0242,Norderstedt,53.68177,9.99768
E0243,Bramfeld,53.62938,10.05341
E0244,Poppenbüttel,53.63995,10.05719
E0245,Harburg,53.46029,9.98349
E0246,Ahrensburg,53.67282,10.24543
E0247,Harburg,53.43327,9.98933
E0248,St. Pauli,53.55781,9.95398
E0249,Altona-Altstadt,53.54572,9.93777
E0250,City (Alt-/Neustadt),53.54553,9.98739
E0251,Bergedorf,53.50613,10.24728
E0252,Ahrensburg,53.67064,10.25648
E0253,Uhlenhorst,53.57318,10.03103
E0254,Bramfeld,53.61407,10.0741
E0255,Bramfeld,53.61865,10.12286
E0256,Hummelsbüttel,53.65481,10.03195
E0257,Quickborn,53.73669,9.89721
E0258,Winterhude,53.59208,10.01163
E0259,Billstedt,53.54037,10.10535
E0260,Harburg,53.46014,9.98839
E0261,Eimsbüttel,53.5784,9.92721
E0262,Henstedt-Ulzburg,53.802,9.95915
E0263,Niendorf,53.60558,9.94907
E0264,Eimsbüttel,53.57567,9.94312
E0265,Elmshorn,53.76231,9.63153
E0266,Barmbek-Nord,53.60215,10.03345
E0267,Langenhorn,53.65949,10.01491
E0268,Eimsbüttel,53.56694,9.96127
E0269,Winterhude,53.5965,9.97578
E0270,Rahlstedt,53.57458,10.15672
E0271,Billstedt,53.53735,10.09801
E0272,Barmbek-Nord,53.6048,10.04253
E0273,Rahlstedt,53.61527,10.13211
E0274,Steilshoop,53.60297,10.0475
E0275,Lokstedt,53.60502,9.97094
E0276,Ottensen,53.54941,9.89398
E0277,Fuhlsbüttel,53.62378,10.008
E0278,Horn,53.5481,10.08543
E0279,Bad Bramstedt,53.91935,9.87751
E0280,Ahrensburg,53.68449,10.21518
E0281,Rahlstedt,53.58993,10.16773
E0282,Barmbek-Nord,53.59425,10.04436
E0283,Bramfeld,53.61603,10.06964
E0284,Bramfeld,53.63088,10.06204
E0285,Farmsen-Berne,53.62454,10.11375
E0286,St. Pauli,53.54361,9.96356
E0287,Rahlstedt,53.58693,10.14016
E0288,Altona-Altstadt,53.55038,9.95033
E0289,Poppenbüttel,53.6534,10.09822
E0290,Winterhude,53.60526,10.01838
E0291,Henstedt-Ulzburg,53.80035,10.00418
E0292,Rahlstedt,53.57567,10.14988
E0293,Elmshorn,53.74533,9.65491
E0294,Winterhude,53.59143,9.99787
E0295,Kaltenkirchen,53.85582,9.95728
E0296,Pinneberg,53.65914,9.78528
E0297,Glinde/Barsbüttel,53.54583,10.20011
E0298,Norderstedt,53.70717,10.03983
E0299,Norderstedt,53.72636,10.01793
E0300,Bergedorf,53.49607,10.1899
E0301,Norderstedt,53.69859,10.03407
E0302,Eimsbüttel,53.58193,9.95471
E0303,Sasel,53.66098,10.11907
E0304,Eilbek,53.574,10.04731
E0305,Ahrensburg,53.67044,10.23137
E0306,Hamm,53.53349,10.06129
E0307,Altona-Altstadt,53.52611,9.92845
E0308,Wilhelmsburg,53.50042,10.01917
E0309,Langenhorn,53.64721,9.99747
E0310,Eimsbüttel,53.58596,9.9458
E0311,Hamm,53.5697,10.05698
E0312,St. Pauli,53.55204,9.97593
E0313,Bramfeld,53.61631,10.05596
E0314,Hoheluft,53.58245,9.97472
E0315,Hoheluft,53.57618,9.97295
E0316,Ohlsdorf,53.62055,10.03987
E0317,Altona-Altstadt,53.54821,9.94229
E0318,Schnelsen,53.63204,9.92321
E0319,Niendorf,53.62617,9.934
E0320,Bad Oldesloe,53.80058,10.39167
E0321,Elmshorn,53.74988,9.63033
E0322,Hamm,53.55711,10.06219
E0323,Ohlsdorf,53.61582,10.0332
E0324,Sasel,53.65962,10.11739
E0325,Kaltenkirchen,53.84332,9.93753
E0326,Bergedorf,53.49297,10.20619
E0327,Norderstedt,53.69228,10.03229
E0328,Poppenbüttel,53.67231,10.10984
E0329,Wilhelmsburg,53.51078,10.00789
E0330,Niendorf,53.62353,9.96227
E0331,Wellingsbüttel,53.64173,10.08126
E0332,Barmbek-Süd,53.58877,10.04334
E0333,Schnelsen,53.62644,9.91403
E0334,Ahrensburg,53.68034,10.22605
E0335,Eimsbüttel,53.57772,9.96058
E0336,Wilhelmsburg,53.4905,10.02452
E0337,Billstedt,53.54455,10.07629
E0338,Stellingen,53.60354,9.92159
E0339,Billstedt,53.52014,10.07994
E0340,Bargteheide,53.71881,10.25675
E0341,Eimsbüttel,53.57281,9.94769
E0342,Bad Oldesloe,53.8172,10.37944
E0343,Norderstedt,53.70506,10.02049
E0344,Harburg,53.46616,9.94927
E0345,Norderstedt,53.69417,9.95419
E0346,Norderstedt,53.70058,10.00988
E0347,Bad Oldesloe,53.82146,10.393
E0348,Bramfeld,53.61703,10.06399
E0349,Steilshoop,53.61291,10.05293
E0350,Billstedt,53.53998,10.11893
